"id_order","sku"
299545,"OWC0094"
299546,"IOT0008"
295347,"APP0694"
299549,"PAC0923"
299556,"CRU0039-A"
299561,"PEB0009"
299563,"BEA0059"
299571,"SYN0133"
299578,"LOG0185"
299579,"LGE0031-A"
299586,"GRT0450"
299597,"PEB0009"
299600,"APP0404"
299600,"LAC0199"
299600,"DLK0072"
299608,"ICA0073"
299609,"PAR0065"
299610,"APP0017"
299600,"PAC0486"
299610,"APP1208"
299600,"BEL0223"
299623,"OBL0001"
298391,"PAC1588"
298391,"APP0656"
299634,"SYN0140"
299637,"TOS0001"
299571,"WDT0177"
299634,"WDT0177"
299648,"PAC1375"
299650,"NOK0001"
299655,"WAC0185"
299655,"WAC0034"
299659,"THU0007"
299667,"WIT0018"
299673,"PAC0563"
299664,"APP0952"
299674,"PAC1290"
299681,"SPE0155"
299681,"APP0695"
299696,"KEN0206"
299710,"PHI0066"
299710,"PHI0073"
299719,"OTT0133"
299719,"GRT0355"
299723,"MAC0116"
299696,"SAN0106"
299736,"WAC0185"
299737,"JBL0101"
299742,"NEA0011"
299744,"APP1804"
299773,"OLL0009"
299776,"BNQ0047"
299792,"SYN0140"
299803,"TOS0016"
299807,"IFX0015"
299808,"LAC0175"
299811,"SAN0097"
299823,"WAC0128"
299829,"LAC0165"
299833,"KIN0156"
299847,"APP0094"
299850,"APP0692"
299850,"GRT0369"
299858,"LIF0089"
299858,"SAT0008"
299859,"PAC1367"
299860,"PAC1510"
299864,"OWC0153-4"
299865,"IFX0038"
299867,"SAT0044"
299868,"FCM0007-4"
299870,"BLM0010"
299867,"PHI0070"
299881,"SAN0131"
299887,"SPE0136"
299891,"OWC0180"
299895,"PAR0048"
299901,"APP1192"
299818,"TPL0004"
299910,"WAC0084"
299909,"LAC0153"
299918,"SEA0100"
299918,"SAN0093"
299939,"PHI0066"
299944,"SAM0068"
299944,"OWC0018"
299945,"ADN0036"
299947,"APP1476"
299944,"OWC0086"
299959,"IFX0073"
299962,"PAC0127"
299959,"IFX0039"
299959,"IFX0015"
296502,"BEL0236"
299984,"APP0921"
299973,"LIF0091"
296502,"GRT0438"
300002,"CRU0016-2"
300008,"WDT0221"
300012,"MOP0074"
300021,"LOG0185"
300028,"PAR0047"
300033,"IFX0039"
300035,"APP1635"
300033,"TRK0003"
300040,"WDT0135"
300040,"SYN0122"
300046,"APP0476"
300051,"HTE0004"
300055,"PAC1498"
300060,"HTE0004"
300055,"IFX0144"
299466,"APP1642"
299404,"NTE0007"
299404,"OWC0094"
299404,"SAM0069"
300077,"JBL0101"
299404,"KIN0150"
300080,"SNA0061"
300085,"OWC0085-4"
300055,"OWC0040-2"
299983,"LGE0028"
300055,"NTE0038"
300109,"PHI0066"
300110,"LEX0022"
300126,"LIF0106"
300129,"OWC0048"
300123,"IFX0018"
300149,"WIT0025"
298161,"APP0660"
300152,"APP1639"
300152,"APP1641"
298161,"APP1566"
300158,"APP1205"
300158,"APP1669"
300168,"LOG0186"
300173,"SAT0015"
300173,"MOX0024"
300179,"OWC0037-2"
300179,"OWC0001"
300179,"SEA0096"
300184,"TRA0030-A"
300188,"KAN0021"
300189,"PAC0017"
300188,"NTE0006"
300192,"WOE0006"
300192,"WOE0005"
300193,"WDT0135"
300192,"PHI0055"
300199,"APP1772"
300179,"SAM0063"
300203,"ELG0034"
300203,"ELG0032"
300207,"SAM0067"
300208,"PHI0055"
300213,"TIG0018"
300213,"HTE0002"
300218,"APP1459"
300223,"OTT0087"
300235,"WAC0166"
300241,"NOM0009"
296611,"FCM0009-2"
300252,"SAN0127"
300253,"APP1261"
300254,"APP0017"
300262,"LOG0211"
300263,"LEX0022"
300265,"APP1204"
300273,"LGE0029"
300281,"APP0921"
300257,"BEL0165"
300283,"SAT0028"
300283,"SAT0005"
300283,"SAT0037"
300283,"ELG0042"
300283,"PAC1394"
300257,"TPL0032"
300304,"FCM0016-2"
300306,"APP1037"
300309,"OTT0130"
300309,"APP0692"
300310,"WIT0024"
300310,"HTE0003"
300309,"SAT0017"
300314,"PAC0617"
300314,"OWC0181-2"
300315,"APP0921"
300317,"TRA0004"
300319,"WIT0023"
300323,"OWC0183"
300325,"TPL0034"
300327,"OWC0169"
300326,"LIF0099"
300329,"SAN0127"
300331,"MOS0204"
300333,"WDT0309"
300336,"LOG0188"
300326,"LIF0070"
300339,"APP1772"
300346,"TRA0004"
300347,"SAN0129"
300364,"SAN0127"
298859,"ZAG0022"
300368,"IFX0013"
300315,"TPL0032"
300369,"PAC0692"
300371,"BOO0063"
300379,"TPL0011"
300380,"LOG0169"
300362,"PEB0009"
300385,"SAN0128"
300387,"APP1744"
300385,"SAN0127"
300368,"MOX0012"
300389,"MOP0067"
300390,"APP0697"
300368,"GRT0421"
300391,"PAC1729"
300399,"SAM0067"
300400,"LOG0185"
300403,"OTT0130"
300406,"LAC0194"
300258,"TRA0035"
300411,"BEL0264"
300412,"WAC0160"
300413,"SAN0127"
300414,"LEX0027"
300418,"SAM0110-A"
300419,"APP1804"
300421,"OWC0036-2"
300421,"KAN0022"
300422,"TRK0004"
300430,"APP1146"
300430,"WOE0002"
300434,"LAC0161"
300435,"WIT0026"
300436,"ZAG0013"
300439,"BEL0206"
300439,"SPE0135"
300439,"APP0921"
300443,"TAM0006"
300444,"HTE0001"
300444,"HTE0003"
300446,"OTT0153"
300446,"BEL0280"
300455,"OWC0142"
300456,"SAN0127"
300443,"PAR0044"
300452,"WAC0185"
300443,"HTE0004"
300463,"LOG0078"
300464,"WIT0028"
300466,"FCM0020"
300467,"TRK0005"
300468,"BEA0050"
300469,"APP1037"
300446,"MUV0162"
300471,"GRT0417"
300467,"NOD0002"
300475,"OTT0126"
300476,"CRU0016-2"
300435,"APP1041"
300435,"APP1915"
300482,"ELG0040"
300391,"TOS0014"
300485,"SEA0043"
300495,"APP1208"
300497,"REP0128"
300498,"NTE0095"
300495,"JMO0050"
300495,"APP0691"
300495,"APP1459"
300506,"SAN0155"
300506,"SAN0129"
300512,"NOM0011"
300513,"ELG0033"
300455,"SEA0038"
300518,"IFX0130"
300525,"PAC1764"
300513,"LEX0010"
300527,"OWC0196"
300530,"SPE0169"
300531,"CRU0046"
300532,"ELG0033"
300532,"ELG0034"
300540,"ZAG0013"
300541,"BOS0037"
300541,"WHO0002"
300544,"TRK0005"
300546,"WAC0165"
300547,"TPL0011"
300541,"MUV0165"
300533,"TWS0072"
300551,"RAI0001"
300553,"APP0017"
300554,"OWC0181-2"
300565,"CRU0026-2"
300585,"APP1870"
300586,"BEA0052"
300281,"MUV0145"
300604,"TPL0026"
300610,"MUJ0010"
300613,"HTE0004"
300281,"MOS0059"
300615,"LEE0005"
300616,"JBL0113"
300626,"IFX0028"
300627,"PAC0616"
300626,"APP0692"
300626,"IFX0087"
300637,"GRT0387"
300646,"NEA0004"
300646,"NEA0009"
300650,"OWC0094"
300655,"JBL0096"
300656,"BEL0227"
300657,"LGE0041"
