"id_order","brand_cat"
299571,"Synology accessories"
299600,"Apple accessories"
299600,"LaCie accessories"
299600,"D-Link accessories"
299610,"Apple accessories"
299600,"Pack pc"
299610,"Apple accessories"
299600,"Belkin accessories"
298391,"Pack pc"
298391,"Apple extended warranty"
299634,"Synology accessories"
299571,"Western Digital accessories"
299634,"Western Digital accessories"
299654,"D-Link camera"
299654,"Belkin accessories"
299655,"Wacom tablet"
299655,"Wacom accessories"
299654,"Kingston accessories"
299681,"Spek SeeThru accessories"
299681,"Apple accessories"
299696,"Jaybird accessories"
299710,"Philips accessories"
299710,"Philips accessories"
299719,"Otterbox accessories"
299719,"Griffin accessories"
299730,"Pack accessories"
299696,"SanDisk accessories"
299730,"Western Digital accessories"
299850,"Apple accessories"
299850,"Griffin accessories"
299858,"Lifeproof accessories"
299858,"Satechi accessories"
299867,"Satechi accessories"
299867,"Philips accessories"
299903,"IK Multimedia accessories"
299903,"IK Multimedia accessories"
299914,"Apple accessories"
299914,"Wowewa accessories"
299918,"Seagate accessories"
299918,"SanDisk accessories"
299944,"Samsung accessories"
299944,"OWC accessories"
299944,"OWC accessories"
299959,"iFixit accessories"
299959,"iFixit accessories"
299959,"iFixit accessories"
299978,"Western Digital accessories"
299978,"Synology accessories"
296502,"Belkin accessories"
296502,"Griffin accessories"
299978,"Toshiba accessories"
299978,"Kanex accessories"
300033,"iFixit accessories"
300033,"TrackR accessories"
300040,"Western Digital accessories"
300040,"Synology accessories"
300053,"Crucial accessories"
300055,"Pack accessories"
300053,"Crucial accessories"
300055,"iFixit accessories"
299404,"NewerTech accessories"
299404,"OWC accessories"
299404,"Samsung accessories"
299404,"Kingston accessories"
300055,"OWC accessories"
300055,"NewerTech accessories"
300108,"Wacom tablet"
300108,"Wacom accessories"
300106,"Apple accessories"
300106,"Apple accessories"
300144,"Pack accessories"
300144,"FCM accessories"
300144,"FCM accessories"
298161,"Apple extended warranty"
300144,"Crucial accessories"
300152,"Apple smartphone"
300152,"Apple smartphone"
298161,"Apple accessories"
300158,"Apple other"
300158,"Apple accessories"
300106,"Apple accessories"
300173,"Satechi accessories"
300176,"Twelve South accessories"
300173,"Moxie accessories"
300179,"OWC accessories"
300179,"OWC accessories"
300179,"Seagate accessories"
300188,"Kanex accessories"
300188,"NewerTech accessories"
300192,"Wowewa accessories"
300192,"Wowewa accessories"
300192,"Philips accessories"
300195,"Elgato accessories"
300195,"Elgato accessories"
300179,"Samsung accessories"
300203,"Elgato accessories"
300203,"Elgato accessories"
300205,"Apple laptop"
300205,"Apple smartphone"
300212,"JBL accessories"
300213,"Tigra accessories"
300213,"Hyper Pearl accessories"
300281,"Apple accessories"
300257,"Belkin accessories"
300283,"Satechi accessories"
300283,"Satechi accessories"
300283,"Satechi accessories"
300283,"Elgato accessories"
300283,"Pack accessories"
300290,"Spek SeeThru accessories"
300257,"TP-Link accessories"
300290,"Moxie accessories"
300309,"Otterbox accessories"
300309,"Apple accessories"
300310,"Withings display"
300310,"Hyper Pearl accessories"
300309,"Satechi accessories"
300314,"Pack accessories"
300314,"OWC accessories"
300315,"Apple accessories"
300326,"Lifeproof accessories"
300331,"Moshi accessories"
300326,"Lifeproof accessories"
300360,"Apple laptop"
300360,"Kanex accessories"
300368,"iFixit accessories"
300315,"TP-Link accessories"
300385,"SanDisk accessories"
300385,"SanDisk accessories"
300368,"Moxie accessories"
300368,"Griffin accessories"
300391,"Pack accessories"
300421,"OWC accessories"
300421,"Kanex accessories"
300430,"Apple accessories"
300430,"Wowewa accessories"
300435,"Withings other"
300439,"Belkin accessories"
300439,"Spek SeeThru accessories"
300439,"Apple accessories"
300443,"Tangram accessories"
300444,"Hyper Pearl accessories"
300444,"Hyper Pearl accessories"
300446,"Otterbox accessories"
300446,"Belkin accessories"
300455,"OWC accessories"
300443,"Parrot other"
300443,"Hyper Pearl other"
300467,"TrackR accessories"
300446,"Muvit accessories"
300467,"Nodon accessories"
300435,"Apple accessories"
300435,"Apple accessories"
300391,"Toshiba accessories"
300488,"Apple tablet"
300488,"Apple accessories"
300495,"Apple accessories"
300440,"Just Mobile accessories"
300495,"Just Mobile accessories"
300495,"Apple accessories"
300495,"Apple accessories"
300506,"SanDisk accessories"
300506,"SanDisk accessories"
300513,"Elgato accessories"
300455,"Seagate accessories"
300440,"Nomad accessories"
300513,"Lexar accessories"
300532,"Elgato accessories"
300532,"Elgato accessories"
300535,"Apple extended warranty"
300541,"Bose accessories"
300541,"Whoosh accessories"
300541,"Muvit accessories"
300557,"I AM other"
300560,"Apple laptop"
300557,"TP-Link accessories"
300560,"Be.ez accessories"
300596,"Synology accessories"
300596,"Western Digital accessories"
300281,"Muvit accessories"
300281,"Moshi accessories"
300626,"iFixit accessories"
300626,"Apple accessories"
299805,"LG display"
299805,"Apple accessories"
300626,"iFixit accessories"
300646,"Netatmo accessories"
300646,"Netatmo other"
300648,"Apple tablet"
300648,"Apple accessories"
300648,"Apple accessories"
300656,"Belkin accessories"
300646,"Netatmo accessories"
300671,"Crucial accessories"
300656,"Western Digital accessories"
300699,"Moshi accessories"
300699,"Startech accessories"
300711,"Beats accessories"
300711,"Apple accessories"
300720,"Elgato accessories"
300713,"Apple accessories"
300713,"Otterbox accessories"
300726,"Twelve South accessories"
300726,"Kukaclip accessories"
300736,"Moshi accessories"
300737,"NewerTech accessories"
300737,"Samsung accessories"
300720,"Otterbox accessories"
300726,"Kukaclip accessories"
300736,"Otterbox accessories"
300736,"NewerTech accessories"
300737,"Western Digital accessories"
300760,"NewerTech accessories"
300760,"OWC accessories"
300778,"Apple tablet"
300778,"Apple accessories"
300778,"Apple accessories"
300782,"LaCie accessories"
300782,"Logitech accessories"
300778,"iFixit accessories"
300778,"Twelve South accessories"
300782,"Apple accessories"
300819,"Satechi accessories"
300819,"Satechi accessories"
300826,"Spek SeeThru accessories"
300826,"Belkin accessories"
300846,"FCM accessories"
300848,"Apple accessories"
300848,"Apple accessories"
300826,"Muvit accessories"
300846,"Samsung accessories"
300881,"Startech accessories"
300881,"iFixit accessories"
300876,"Western Digital accessories"
300881,"Seagate accessories"
300876,"Osmo accessories"
300894,"Kingston accessories"
300894,"Elgato accessories"
300906,"Startech accessories"
300906,"NewerTech accessories"
300979,"TrackR accessories"
300979,"Nodon accessories"
300989,"Satechi accessories"
300989,"Apple accessories"
300326,"Lifeproof accessories"
301080,"Adonit accessories"
301080,"Adonit accessories"
301079,"Moshi accessories"
300535,"Belkin accessories"
301079,"Thule accessories"
301097,"Apple accessories"
301106,"Hyper Pearl other"
301106,"TrackR accessories"
301140,"iFixit accessories"
301140,"OWC accessories"
301140,"iFixit accessories"
301184,"Spek SeeThru accessories"
301184,"Elgato accessories"
301198,"Trascend accessories"
301198,"Western Digital accessories"
301198,"Xoopar accessories"
301204,"Apple accessories"
301204,"Apple accessories"
301204,"Apple tablet"
301243,"Otterbox accessories"
301243,"iOttie accessories"
301247,"Otterbox accessories"
296229,"Moshi accessories"
296229,"Apple accessories"
301276,"Elgato accessories"
301276,"Crucial accessories"
300331,"Belkin accessories"
301325,"Crucial accessories"
